id,university_id,faculty_id,department_id,code,name,level,credits,semester,course_type
ug_computing_and_information_technology_information_systems_course_3,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_systems,IS103,Enterprise Systems,300,3,Semester 1,core
ug_computing_and_information_technology_information_systems_course_4,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_systems,IS104,IT Project Management,400,3,Semester 2,core
ug_computing_and_information_technology_cybersecurity_course_1,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_cybersecurity,C101,Network Security,100,3,Semester 1,core
ug_computing_and_information_technology_cybersecurity_course_2,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_cybersecurity,C102,Ethical Hacking,200,3,Semester 2,core
ug_computing_and_information_technology_cybersecurity_course_3,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_cybersecurity,C103,Digital Forensics,300,3,Semester 1,core
ug_computing_and_information_technology_cybersecurity_course_4,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_cybersecurity,C104,Security Governance,400,3,Semester 2,core
ug_computing_and_information_technology_data_science_course_1,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_data_science,DS101,Statistics for Data Science,100,3,Semester 1,core
ug_computing_and_information_technology_data_science_course_2,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_data_science,DS102,Machine Learning,200,3,Semester 2,core
ug_computing_and_information_technology_data_science_course_3,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_data_science,DS103,Data Visualization,300,3,Semester 1,core
ug_computing_and_information_technology_data_science_course_4,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_data_science,DS104,Big Data Analytics,400,3,Semester 2,core
ug_computing_and_information_technology_software_engineering_course_1,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_software_engineering,SE101,Software Requirements,100,3,Semester 1,core
ug_computing_and_information_technology_software_engineering_course_2,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_software_engineering,SE102,Software Design,200,3,Semester 2,core
ug_computing_and_information_technology_software_engineering_course_3,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_software_engineering,SE103,Software Testing,300,3,Semester 1,core
ug_computing_and_information_technology_software_engineering_course_4,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_software_engineering,SE104,DevOps,400,3,Semester 2,core
ug_engineering_and_built_environment_civil_engineering_course_1,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_civil_engineering,CE101,Structural Analysis,100,3,Semester 1,core
ug_engineering_and_built_environment_civil_engineering_course_2,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_civil_engineering,CE102,Surveying,200,3,Semester 2,core
ug_engineering_and_built_environment_civil_engineering_course_3,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_civil_engineering,CE103,Construction Materials,300,3,Semester 1,core
ug_engineering_and_built_environment_civil_engineering_course_4,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_civil_engineering,CE104,Transportation Engineering,400,3,Semester 2,core
ug_engineering_and_built_environment_electrical_and_electronic_engineering_course_1,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_electrical_and_electronic_engineering,EAEE101,Circuit Theory,100,3,Semester 1,core
ug_engineering_and_built_environment_electrical_and_electronic_engineering_course_2,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_electrical_and_electronic_engineering,EAEE102,Digital Electronics,200,3,Semester 2,core
ug_engineering_and_built_environment_electrical_and_electronic_engineering_course_3,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_electrical_and_electronic_engineering,EAEE103,Power Systems,300,3,Semester 1,core
ug_engineering_and_built_environment_electrical_and_electronic_engineering_course_4,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_electrical_and_electronic_engineering,EAEE104,Control Systems,400,3,Semester 2,core
ug_engineering_and_built_environment_mechanical_engineering_course_1,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_mechanical_engineering,ME101,Thermodynamics,100,3,Semester 1,core
ug_engineering_and_built_environment_mechanical_engineering_course_2,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_mechanical_engineering,ME102,Fluid Mechanics,200,3,Semester 2,core
ug_engineering_and_built_environment_mechanical_engineering_course_3,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_mechanical_engineering,ME103,Machine Design,300,3,Semester 1,core
ug_engineering_and_built_environment_mechanical_engineering_course_4,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_mechanical_engineering,ME104,Manufacturing Processes,400,3,Semester 2,core
ug_engineering_and_built_environment_computer_engineering_course_1,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_computer_engineering,CE101,Embedded Systems,100,3,Semester 1,core
ug_engineering_and_built_environment_computer_engineering_course_2,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_computer_engineering,CE102,Computer Architecture,200,3,Semester 2,core
ug_engineering_and_built_environment_computer_engineering_course_3,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_computer_engineering,CE103,Microprocessors,300,3,Semester 1,core
ug_engineering_and_built_environment_computer_engineering_course_4,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_computer_engineering,CE104,Digital Systems,400,3,Semester 2,core
ug_engineering_and_built_environment_building_technology_course_1,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_building_technology,BT101,Building Construction,100,3,Semester 1,core
ug_engineering_and_built_environment_building_technology_course_2,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_building_technology,BT102,Quantity Surveying,200,3,Semester 2,core
ug_engineering_and_built_environment_building_technology_course_3,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_building_technology,BT103,Construction Management,300,3,Semester 1,core
ug_engineering_and_built_environment_building_technology_course_4,ug,ug_engineering_and_built_environment,ug_engineering_and_built_environment_building_technology,BT104,Building Services,400,3,Semester 2,core
ug_health_sciences_nursing_course_1,ug,ug_health_sciences,ug_health_sciences_nursing,N101,Anatomy and Physiology,100,3,Semester 1,core
ug_health_sciences_nursing_course_2,ug,ug_health_sciences,ug_health_sciences_nursing,N102,Medical-Surgical Nursing,200,3,Semester 2,core
ug_health_sciences_nursing_course_3,ug,ug_health_sciences,ug_health_sciences_nursing,N103,Community Health Nursing,300,3,Semester 1,core
ug_health_sciences_nursing_course_4,ug,ug_health_sciences,ug_health_sciences_nursing,N104,Pharmacology,400,3,Semester 2,core
ug_health_sciences_midwifery_course_1,ug,ug_health_sciences,ug_health_sciences_midwifery,M101,Maternal Health,100,3,Semester 1,core
ug_health_sciences_midwifery_course_2,ug,ug_health_sciences,ug_health_sciences_midwifery,M102,Neonatal Care,200,3,Semester 2,core
ug_health_sciences_midwifery_course_3,ug,ug_health_sciences,ug_health_sciences_midwifery,M103,Reproductive Health,300,3,Semester 1,core
ug_health_sciences_midwifery_course_4,ug,ug_health_sciences,ug_health_sciences_midwifery,M104,Obstetric Emergencies,400,3,Semester 2,core
ug_health_sciences_public_health_course_1,ug,ug_health_sciences,ug_health_sciences_public_health,PH101,Epidemiology,100,3,Semester 1,core
ug_health_sciences_public_health_course_2,ug,ug_health_sciences,ug_health_sciences_public_health,PH102,Health Promotion,200,3,Semester 2,core
ug_health_sciences_public_health_course_3,ug,ug_health_sciences,ug_health_sciences_public_health,PH103,Biostatistics,300,3,Semester 1,core
ug_health_sciences_public_health_course_4,ug,ug_health_sciences,ug_health_sciences_public_health,PH104,Environmental Health,400,3,Semester 2,core
ug_health_sciences_medical_laboratory_science_course_1,ug,ug_health_sciences,ug_health_sciences_medical_laboratory_science,MLS101,Haematology,100,3,Semester 1,core
ug_health_sciences_medical_laboratory_science_course_2,ug,ug_health_sciences,ug_health_sciences_medical_laboratory_science,MLS102,Clinical Chemistry,200,3,Semester 2,core
ug_health_sciences_medical_laboratory_science_course_3,ug,ug_health_sciences,ug_health_sciences_medical_laboratory_science,MLS103,Microbiology,300,3,Semester 1,core
ug_health_sciences_medical_laboratory_science_course_4,ug,ug_health_sciences,ug_health_sciences_medical_laboratory_science,MLS104,Histopathology,400,3,Semester 2,core
ug_health_sciences_physician_assistantship_course_1,ug,ug_health_sciences,ug_health_sciences_physician_assistantship,PA101,Clinical Medicine,100,3,Semester 1,core
ug_health_sciences_physician_assistantship_course_2,ug,ug_health_sciences,ug_health_sciences_physician_assistantship,PA102,Diagnostics,200,3,Semester 2,core
ug_health_sciences_physician_assistantship_course_3,ug,ug_health_sciences,ug_health_sciences_physician_assistantship,PA103,Pharmacology,300,3,Semester 1,core
ug_health_sciences_physician_assistantship_course_4,ug,ug_health_sciences,ug_health_sciences_physician_assistantship,PA104,Emergency Care,400,3,Semester 2,core
ug_health_sciences_health_information_management_course_1,ug,ug_health_sciences,ug_health_sciences_health_information_management,HIM101,Health Records,100,3,Semester 1,core
ug_health_sciences_health_information_management_course_2,ug,ug_health_sciences,ug_health_sciences_health_information_management,HIM102,Medical Coding,200,3,Semester 2,core
ug_health_sciences_health_information_management_course_3,ug,ug_health_sciences,ug_health_sciences_health_information_management,HIM103,Health Informatics,300,3,Semester 1,core
ug_health_sciences_health_information_management_course_4,ug,ug_health_sciences,ug_health_sciences_health_information_management,HIM104,Data Quality,400,3,Semester 2,core
ug_arts_humanities_and_social_sciences_political_science_course_1,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_political_science,PS101,Political Theory,100,3,Semester 1,core
ug_arts_humanities_and_social_sciences_political_science_course_2,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_political_science,PS102,Comparative Politics,200,3,Semester 2,core
ug_arts_humanities_and_social_sciences_political_science_course_3,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_political_science,PS103,International Relations,300,3,Semester 1,core
ug_arts_humanities_and_social_sciences_political_science_course_4,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_political_science,PS104,Public Administration,400,3,Semester 2,core
ug_arts_humanities_and_social_sciences_economics_course_1,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_economics,E101,Microeconomics,100,3,Semester 1,core
ug_arts_humanities_and_social_sciences_economics_course_2,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_economics,E102,Macroeconomics,200,3,Semester 2,core
ug_arts_humanities_and_social_sciences_economics_course_3,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_economics,E103,Econometrics,300,3,Semester 1,core
ug_arts_humanities_and_social_sciences_economics_course_4,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_economics,E104,Development Economics,400,3,Semester 2,core
ug_arts_humanities_and_social_sciences_sociology_course_1,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_sociology,S101,Social Theory,100,3,Semester 1,core
ug_arts_humanities_and_social_sciences_sociology_course_2,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_sociology,S102,Research Methods,200,3,Semester 2,core
ug_arts_humanities_and_social_sciences_sociology_course_3,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_sociology,S103,Rural Sociology,300,3,Semester 1,core
ug_arts_humanities_and_social_sciences_sociology_course_4,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_sociology,S104,Urban Sociology,400,3,Semester 2,core
ug_arts_humanities_and_social_sciences_psychology_course_1,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_psychology,P101,General Psychology,100,3,Semester 1,core
ug_arts_humanities_and_social_sciences_psychology_course_2,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_psychology,P102,Developmental Psychology,200,3,Semester 2,core
ug_arts_humanities_and_social_sciences_psychology_course_3,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_psychology,P103,Abnormal Psychology,300,3,Semester 1,core
ug_arts_humanities_and_social_sciences_psychology_course_4,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_psychology,P104,Counselling Psychology,400,3,Semester 2,core
ug_arts_humanities_and_social_sciences_languages_course_1,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_languages,L101,Academic Writing,100,3,Semester 1,core
ug_arts_humanities_and_social_sciences_languages_course_2,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_languages,L102,Communication Skills,200,3,Semester 2,core
ug_arts_humanities_and_social_sciences_languages_course_3,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_languages,L103,Linguistics,300,3,Semester 1,core
ug_arts_humanities_and_social_sciences_languages_course_4,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_languages,L104,Literature,400,3,Semester 2,core
ug_arts_humanities_and_social_sciences_history_course_1,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_history,H101,African History,100,3,Semester 1,core
ug_arts_humanities_and_social_sciences_history_course_2,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_history,H102,Ghanaian History,200,3,Semester 2,core
ug_arts_humanities_and_social_sciences_history_course_3,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_history,H103,World Civilizations,300,3,Semester 1,core
ug_arts_humanities_and_social_sciences_history_course_4,ug,ug_arts_humanities_and_social_sciences,ug_arts_humanities_and_social_sciences_history,H104,Historical Methods,400,3,Semester 2,core
ug_education_educational_studies_course_1,ug,ug_education,ug_education_educational_studies,ES101,Foundations of Education,100,3,Semester 1,core
ug_education_educational_studies_course_2,ug,ug_education,ug_education_educational_studies,ES102,Educational Psychology,200,3,Semester 2,core
ug_education_educational_studies_course_3,ug,ug_education,ug_education_educational_studies,ES103,Assessment in Education,300,3,Semester 1,core
ug_education_educational_studies_course_4,ug,ug_education,ug_education_educational_studies,ES104,Inclusive Education,400,3,Semester 2,core
ug_education_curriculum_and_instruction_course_1,ug,ug_education,ug_education_curriculum_and_instruction,CAI101,Curriculum Studies,100,3,Semester 1,core
ug_education_curriculum_and_instruction_course_2,ug,ug_education,ug_education_curriculum_and_instruction,CAI102,Instructional Design,200,3,Semester 2,core
ug_education_curriculum_and_instruction_course_3,ug,ug_education,ug_education_curriculum_and_instruction,CAI103,Teaching Methods,300,3,Semester 1,core
ug_education_curriculum_and_instruction_course_4,ug,ug_education,ug_education_curriculum_and_instruction,CAI104,Educational Technology,400,3,Semester 2,core
ug_education_educational_leadership_course_1,ug,ug_education,ug_education_educational_leadership,EL101,School Administration,100,3,Semester 1,core
ug_education_educational_leadership_course_2,ug,ug_education,ug_education_educational_leadership,EL102,Leadership Theory,200,3,Semester 2,core
ug_education_educational_leadership_course_3,ug,ug_education,ug_education_educational_leadership,EL103,Policy and Planning,300,3,Semester 1,core
ug_education_educational_leadership_course_4,ug,ug_education,ug_education_educational_leadership,EL104,Supervision,400,3,Semester 2,core
ug_education_guidance_and_counselling_course_1,ug,ug_education,ug_education_guidance_and_counselling,GAC101,Counselling Theory,100,3,Semester 1,core
ug_education_guidance_and_counselling_course_2,ug,ug_education,ug_education_guidance_and_counselling,GAC102,Career Guidance,200,3,Semester 2,core
ug_education_guidance_and_counselling_course_3,ug,ug_education,ug_education_guidance_and_counselling,GAC103,Group Counselling,300,3,Semester 1,core
ug_education_guidance_and_counselling_course_4,ug,ug_education,ug_education_guidance_and_counselling,GAC104,Testing and Assessment,400,3,Semester 2,core
ug_natural_and_applied_sciences_mathematics_course_1,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_mathematics,M101,Calculus,100,3,Semester 1,core
ug_natural_and_applied_sciences_mathematics_course_2,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_mathematics,M102,Linear Algebra,200,3,Semester 2,core
ug_natural_and_applied_sciences_mathematics_course_3,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_mathematics,M103,Abstract Algebra,300,3,Semester 1,core
ug_natural_and_applied_sciences_mathematics_course_4,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_mathematics,M104,Real Analysis,400,3,Semester 2,core
ug_natural_and_applied_sciences_statistics_course_1,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_statistics,S101,Probability,100,3,Semester 1,core
ug_natural_and_applied_sciences_statistics_course_2,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_statistics,S102,Statistical Inference,200,3,Semester 2,core
ug_natural_and_applied_sciences_statistics_course_3,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_statistics,S103,Regression Analysis,300,3,Semester 1,core
ug_natural_and_applied_sciences_statistics_course_4,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_statistics,S104,Sampling Methods,400,3,Semester 2,core
ug_natural_and_applied_sciences_physics_course_1,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_physics,P101,Mechanics,100,3,Semester 1,core
ug_natural_and_applied_sciences_physics_course_2,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_physics,P102,Electricity and Magnetism,200,3,Semester 2,core
ug_natural_and_applied_sciences_physics_course_3,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_physics,P103,Quantum Physics,300,3,Semester 1,core
ug_natural_and_applied_sciences_physics_course_4,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_physics,P104,Thermodynamics,400,3,Semester 2,core
ug_natural_and_applied_sciences_chemistry_course_1,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_chemistry,C101,Organic Chemistry,100,3,Semester 1,core
ug_natural_and_applied_sciences_chemistry_course_2,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_chemistry,C102,Inorganic Chemistry,200,3,Semester 2,core
ug_natural_and_applied_sciences_chemistry_course_3,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_chemistry,C103,Physical Chemistry,300,3,Semester 1,core
ug_natural_and_applied_sciences_chemistry_course_4,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_chemistry,C104,Analytical Chemistry,400,3,Semester 2,core
ug_natural_and_applied_sciences_biological_sciences_course_1,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_biological_sciences,BS101,Cell Biology,100,3,Semester 1,core
ug_natural_and_applied_sciences_biological_sciences_course_2,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_biological_sciences,BS102,Genetics,200,3,Semester 2,core
ug_natural_and_applied_sciences_biological_sciences_course_3,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_biological_sciences,BS103,Ecology,300,3,Semester 1,core
ug_natural_and_applied_sciences_biological_sciences_course_4,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_biological_sciences,BS104,Microbiology,400,3,Semester 2,core
ug_natural_and_applied_sciences_environmental_science_course_1,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_environmental_science,ES101,Environmental Chemistry,100,3,Semester 1,core
ug_natural_and_applied_sciences_environmental_science_course_2,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_environmental_science,ES102,Climate Change,200,3,Semester 2,core
ug_natural_and_applied_sciences_environmental_science_course_3,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_environmental_science,ES103,Environmental Policy,300,3,Semester 1,core
ug_natural_and_applied_sciences_environmental_science_course_4,ug,ug_natural_and_applied_sciences,ug_natural_and_applied_sciences_environmental_science,ES104,Waste Management,400,3,Semester 2,core
knust_business_and_management_studies_accounting_course_1,knust,knust_business_and_management_studies,knust_business_and_management_studies_accounting,A101,Financial Accounting,100,3,Semester 1,core
knust_business_and_management_studies_accounting_course_2,knust,knust_business_and_management_studies,knust_business_and_management_studies_accounting,A102,Cost Accounting,200,3,Semester 2,core
knust_business_and_management_studies_accounting_course_3,knust,knust_business_and_management_studies,knust_business_and_management_studies_accounting,A103,Auditing,300,3,Semester 1,core
knust_business_and_management_studies_accounting_course_4,knust,knust_business_and_management_studies,knust_business_and_management_studies_accounting,A104,Taxation,400,3,Semester 2,core
knust_business_and_management_studies_banking_and_finance_course_1,knust,knust_business_and_management_studies,knust_business_and_management_studies_banking_and_finance,BAF101,Corporate Finance,100,3,Semester 1,core
knust_business_and_management_studies_banking_and_finance_course_2,knust,knust_business_and_management_studies,knust_business_and_management_studies_banking_and_finance,BAF102,Financial Markets,200,3,Semester 2,core
knust_business_and_management_studies_banking_and_finance_course_3,knust,knust_business_and_management_studies,knust_business_and_management_studies_banking_and_finance,BAF103,Investment Analysis,300,3,Semester 1,core
knust_business_and_management_studies_banking_and_finance_course_4,knust,knust_business_and_management_studies,knust_business_and_management_studies_banking_and_finance,BAF104,Risk Management,400,3,Semester 2,core
knust_business_and_management_studies_marketing_course_1,knust,knust_business_and_management_studies,knust_business_and_management_studies_marketing,M101,Principles of Marketing,100,3,Semester 1,core
knust_business_and_management_studies_marketing_course_2,knust,knust_business_and_management_studies,knust_business_and_management_studies_marketing,M102,Consumer Behaviour,200,3,Semester 2,core
knust_business_and_management_studies_marketing_course_3,knust,knust_business_and_management_studies,knust_business_and_management_studies_marketing,M103,Digital Marketing,300,3,Semester 1,core
knust_business_and_management_studies_marketing_course_4,knust,knust_business_and_management_studies,knust_business_and_management_studies_marketing,M104,Sales Management,400,3,Semester 2,core
knust_business_and_management_studies_human_resource_management_course_1,knust,knust_business_and_management_studies,knust_business_and_management_studies_human_resource_management,HRM101,Organizational Behaviour,100,3,Semester 1,core
knust_business_and_management_studies_human_resource_management_course_2,knust,knust_business_and_management_studies,knust_business_and_management_studies_human_resource_management,HRM102,Recruitment and Selection,200,3,Semester 2,core
knust_business_and_management_studies_human_resource_management_course_3,knust,knust_business_and_management_studies,knust_business_and_management_studies_human_resource_management,HRM103,Labour Relations,300,3,Semester 1,core
knust_business_and_management_studies_human_resource_management_course_4,knust,knust_business_and_management_studies,knust_business_and_management_studies_human_resource_management,HRM104,Performance Management,400,3,Semester 2,core
knust_business_and_management_studies_procurement_and_supply_chain_course_1,knust,knust_business_and_management_studies,knust_business_and_management_studies_procurement_and_supply_chain,PASC101,Procurement Principles,100,3,Semester 1,core
knust_business_and_management_studies_procurement_and_supply_chain_course_2,knust,knust_business_and_management_studies,knust_business_and_management_studies_procurement_and_supply_chain,PASC102,Logistics Management,200,3,Semester 2,core
