id,university_id,faculty_id,name
ucc_business_and_management_studies_business_administration,ucc,ucc_business_and_management_studies,Business Administration
ucc_computing_and_information_technology_computer_science,ucc,ucc_computing_and_information_technology,Computer Science
ucc_computing_and_information_technology_information_technology,ucc,ucc_computing_and_information_technology,Information Technology
ucc_computing_and_information_technology_information_systems,ucc,ucc_computing_and_information_technology,Information Systems
ucc_computing_and_information_technology_cybersecurity,ucc,ucc_computing_and_information_technology,Cybersecurity
ucc_computing_and_information_technology_data_science,ucc,ucc_computing_and_information_technology,Data Science
ucc_computing_and_information_technology_software_engineering,ucc,ucc_computing_and_information_technology,Software Engineering
ucc_engineering_and_built_environment_civil_engineering,ucc,ucc_engineering_and_built_environment,Civil Engineering
ucc_engineering_and_built_environment_electrical_and_electronic_engineering,ucc,ucc_engineering_and_built_environment,Electrical and Electronic Engineering
ucc_engineering_and_built_environment_mechanical_engineering,ucc,ucc_engineering_and_built_environment,Mechanical Engineering
ucc_engineering_and_built_environment_computer_engineering,ucc,ucc_engineering_and_built_environment,Computer Engineering
ucc_engineering_and_built_environment_building_technology,ucc,ucc_engineering_and_built_environment,Building Technology
ucc_health_sciences_nursing,ucc,ucc_health_sciences,Nursing
ucc_health_sciences_midwifery,ucc,ucc_health_sciences,Midwifery
ucc_health_sciences_public_health,ucc,ucc_health_sciences,Public Health
ucc_health_sciences_medical_laboratory_science,ucc,ucc_health_sciences,Medical Laboratory Science
ucc_health_sciences_physician_assistantship,ucc,ucc_health_sciences,Physician Assistantship
ucc_health_sciences_health_information_management,ucc,ucc_health_sciences,Health Information Management
ucc_arts_humanities_and_social_sciences_political_science,ucc,ucc_arts_humanities_and_social_sciences,Political Science
ucc_arts_humanities_and_social_sciences_economics,ucc,ucc_arts_humanities_and_social_sciences,Economics
ucc_arts_humanities_and_social_sciences_sociology,ucc,ucc_arts_humanities_and_social_sciences,Sociology
ucc_arts_humanities_and_social_sciences_psychology,ucc,ucc_arts_humanities_and_social_sciences,Psychology
ucc_arts_humanities_and_social_sciences_languages,ucc,ucc_arts_humanities_and_social_sciences,Languages
ucc_arts_humanities_and_social_sciences_history,ucc,ucc_arts_humanities_and_social_sciences,History
ucc_education_educational_studies,ucc,ucc_education,Educational Studies
ucc_education_curriculum_and_instruction,ucc,ucc_education,Curriculum and Instruction
ucc_education_educational_leadership,ucc,ucc_education,Educational Leadership
ucc_education_guidance_and_counselling,ucc,ucc_education,Guidance and Counselling
ucc_natural_and_applied_sciences_mathematics,ucc,ucc_natural_and_applied_sciences,Mathematics
ucc_natural_and_applied_sciences_statistics,ucc,ucc_natural_and_applied_sciences,Statistics
ucc_natural_and_applied_sciences_physics,ucc,ucc_natural_and_applied_sciences,Physics
ucc_natural_and_applied_sciences_chemistry,ucc,ucc_natural_and_applied_sciences,Chemistry
ucc_natural_and_applied_sciences_biological_sciences,ucc,ucc_natural_and_applied_sciences,Biological Sciences
ucc_natural_and_applied_sciences_environmental_science,ucc,ucc_natural_and_applied_sciences,Environmental Science
uew_business_and_management_studies_accounting,uew,uew_business_and_management_studies,Accounting
uew_business_and_management_studies_banking_and_finance,uew,uew_business_and_management_studies,Banking and Finance
uew_business_and_management_studies_marketing,uew,uew_business_and_management_studies,Marketing
uew_business_and_management_studies_human_resource_management,uew,uew_business_and_management_studies,Human Resource Management
uew_business_and_management_studies_procurement_and_supply_chain,uew,uew_business_and_management_studies,Procurement and Supply Chain
uew_business_and_management_studies_business_administration,uew,uew_business_and_management_studies,Business Administration
uew_computing_and_information_technology_computer_science,uew,uew_computing_and_information_technology,Computer Science
uew_computing_and_information_technology_information_technology,uew,uew_computing_and_information_technology,Information Technology
uew_computing_and_information_technology_information_systems,uew,uew_computing_and_information_technology,Information Systems
uew_computing_and_information_technology_cybersecurity,uew,uew_computing_and_information_technology,Cybersecurity
uew_computing_and_information_technology_data_science,uew,uew_computing_and_information_technology,Data Science
uew_computing_and_information_technology_software_engineering,uew,uew_computing_and_information_technology,Software Engineering
uew_engineering_and_built_environment_civil_engineering,uew,uew_engineering_and_built_environment,Civil Engineering
uew_engineering_and_built_environment_electrical_and_electronic_engineering,uew,uew_engineering_and_built_environment,Electrical and Electronic Engineering
uew_engineering_and_built_environment_mechanical_engineering,uew,uew_engineering_and_built_environment,Mechanical Engineering
uew_engineering_and_built_environment_computer_engineering,uew,uew_engineering_and_built_environment,Computer Engineering
uew_engineering_and_built_environment_building_technology,uew,uew_engineering_and_built_environment,Building Technology
uew_health_sciences_nursing,uew,uew_health_sciences,Nursing
uew_health_sciences_midwifery,uew,uew_health_sciences,Midwifery
uew_health_sciences_public_health,uew,uew_health_sciences,Public Health
uew_health_sciences_medical_laboratory_science,uew,uew_health_sciences,Medical Laboratory Science
uew_health_sciences_physician_assistantship,uew,uew_health_sciences,Physician Assistantship
uew_health_sciences_health_information_management,uew,uew_health_sciences,Health Information Management
uew_arts_humanities_and_social_sciences_political_science,uew,uew_arts_humanities_and_social_sciences,Political Science
uew_arts_humanities_and_social_sciences_economics,uew,uew_arts_humanities_and_social_sciences,Economics
uew_arts_humanities_and_social_sciences_sociology,uew,uew_arts_humanities_and_social_sciences,Sociology
uew_arts_humanities_and_social_sciences_psychology,uew,uew_arts_humanities_and_social_sciences,Psychology
uew_arts_humanities_and_social_sciences_languages,uew,uew_arts_humanities_and_social_sciences,Languages
uew_arts_humanities_and_social_sciences_history,uew,uew_arts_humanities_and_social_sciences,History
uew_education_educational_studies,uew,uew_education,Educational Studies
uew_education_curriculum_and_instruction,uew,uew_education,Curriculum and Instruction
uew_education_educational_leadership,uew,uew_education,Educational Leadership
uew_education_guidance_and_counselling,uew,uew_education,Guidance and Counselling
uew_natural_and_applied_sciences_mathematics,uew,uew_natural_and_applied_sciences,Mathematics
uew_natural_and_applied_sciences_statistics,uew,uew_natural_and_applied_sciences,Statistics
uew_natural_and_applied_sciences_physics,uew,uew_natural_and_applied_sciences,Physics
uew_natural_and_applied_sciences_chemistry,uew,uew_natural_and_applied_sciences,Chemistry
uew_natural_and_applied_sciences_biological_sciences,uew,uew_natural_and_applied_sciences,Biological Sciences
uew_natural_and_applied_sciences_environmental_science,uew,uew_natural_and_applied_sciences,Environmental Science
uds_business_and_management_studies_accounting,uds,uds_business_and_management_studies,Accounting
uds_business_and_management_studies_banking_and_finance,uds,uds_business_and_management_studies,Banking and Finance
uds_business_and_management_studies_marketing,uds,uds_business_and_management_studies,Marketing
uds_business_and_management_studies_human_resource_management,uds,uds_business_and_management_studies,Human Resource Management
uds_business_and_management_studies_procurement_and_supply_chain,uds,uds_business_and_management_studies,Procurement and Supply Chain
uds_business_and_management_studies_business_administration,uds,uds_business_and_management_studies,Business Administration
uds_computing_and_information_technology_computer_science,uds,uds_computing_and_information_technology,Computer Science
uds_computing_and_information_technology_information_technology,uds,uds_computing_and_information_technology,Information Technology
uds_computing_and_information_technology_information_systems,uds,uds_computing_and_information_technology,Information Systems
uds_computing_and_information_technology_cybersecurity,uds,uds_computing_and_information_technology,Cybersecurity
uds_computing_and_information_technology_data_science,uds,uds_computing_and_information_technology,Data Science
uds_computing_and_information_technology_software_engineering,uds,uds_computing_and_information_technology,Software Engineering
uds_engineering_and_built_environment_civil_engineering,uds,uds_engineering_and_built_environment,Civil Engineering
uds_engineering_and_built_environment_electrical_and_electronic_engineering,uds,uds_engineering_and_built_environment,Electrical and Electronic Engineering
uds_engineering_and_built_environment_mechanical_engineering,uds,uds_engineering_and_built_environment,Mechanical Engineering
uds_engineering_and_built_environment_computer_engineering,uds,uds_engineering_and_built_environment,Computer Engineering
uds_engineering_and_built_environment_building_technology,uds,uds_engineering_and_built_environment,Building Technology
uds_health_sciences_nursing,uds,uds_health_sciences,Nursing
uds_health_sciences_midwifery,uds,uds_health_sciences,Midwifery
uds_health_sciences_public_health,uds,uds_health_sciences,Public Health
uds_health_sciences_medical_laboratory_science,uds,uds_health_sciences,Medical Laboratory Science
uds_health_sciences_physician_assistantship,uds,uds_health_sciences,Physician Assistantship
uds_health_sciences_health_information_management,uds,uds_health_sciences,Health Information Management
uds_arts_humanities_and_social_sciences_political_science,uds,uds_arts_humanities_and_social_sciences,Political Science
uds_arts_humanities_and_social_sciences_economics,uds,uds_arts_humanities_and_social_sciences,Economics
uds_arts_humanities_and_social_sciences_sociology,uds,uds_arts_humanities_and_social_sciences,Sociology
uds_arts_humanities_and_social_sciences_psychology,uds,uds_arts_humanities_and_social_sciences,Psychology
uds_arts_humanities_and_social_sciences_languages,uds,uds_arts_humanities_and_social_sciences,Languages
uds_arts_humanities_and_social_sciences_history,uds,uds_arts_humanities_and_social_sciences,History
uds_education_educational_studies,uds,uds_education,Educational Studies
uds_education_curriculum_and_instruction,uds,uds_education,Curriculum and Instruction
uds_education_educational_leadership,uds,uds_education,Educational Leadership
uds_education_guidance_and_counselling,uds,uds_education,Guidance and Counselling
uds_natural_and_applied_sciences_mathematics,uds,uds_natural_and_applied_sciences,Mathematics
uds_natural_and_applied_sciences_statistics,uds,uds_natural_and_applied_sciences,Statistics
uds_natural_and_applied_sciences_physics,uds,uds_natural_and_applied_sciences,Physics
uds_natural_and_applied_sciences_chemistry,uds,uds_natural_and_applied_sciences,Chemistry
uds_natural_and_applied_sciences_biological_sciences,uds,uds_natural_and_applied_sciences,Biological Sciences
uds_natural_and_applied_sciences_environmental_science,uds,uds_natural_and_applied_sciences,Environmental Science
upsa_business_and_management_studies_accounting,upsa,upsa_business_and_management_studies,Accounting
upsa_business_and_management_studies_banking_and_finance,upsa,upsa_business_and_management_studies,Banking and Finance
upsa_business_and_management_studies_marketing,upsa,upsa_business_and_management_studies,Marketing
upsa_business_and_management_studies_human_resource_management,upsa,upsa_business_and_management_studies,Human Resource Management
upsa_business_and_management_studies_procurement_and_supply_chain,upsa,upsa_business_and_management_studies,Procurement and Supply Chain
upsa_business_and_management_studies_business_administration,upsa,upsa_business_and_management_studies,Business Administration
upsa_computing_and_information_technology_computer_science,upsa,upsa_computing_and_information_technology,Computer Science
upsa_computing_and_information_technology_information_technology,upsa,upsa_computing_and_information_technology,Information Technology
upsa_computing_and_information_technology_information_systems,upsa,upsa_computing_and_information_technology,Information Systems
upsa_computing_and_information_technology_cybersecurity,upsa,upsa_computing_and_information_technology,Cybersecurity
upsa_computing_and_information_technology_data_science,upsa,upsa_computing_and_information_technology,Data Science
upsa_computing_and_information_technology_software_engineering,upsa,upsa_computing_and_information_technology,Software Engineering
upsa_engineering_and_built_environment_civil_engineering,upsa,upsa_engineering_and_built_environment,Civil Engineering
upsa_engineering_and_built_environment_electrical_and_electronic_engineering,upsa,upsa_engineering_and_built_environment,Electrical and Electronic Engineering
upsa_engineering_and_built_environment_mechanical_engineering,upsa,upsa_engineering_and_built_environment,Mechanical Engineering
upsa_engineering_and_built_environment_computer_engineering,upsa,upsa_engineering_and_built_environment,Computer Engineering
upsa_engineering_and_built_environment_building_technology,upsa,upsa_engineering_and_built_environment,Building Technology
upsa_health_sciences_nursing,upsa,upsa_health_sciences,Nursing
upsa_health_sciences_midwifery,upsa,upsa_health_sciences,Midwifery
upsa_health_sciences_public_health,upsa,upsa_health_sciences,Public Health
upsa_health_sciences_medical_laboratory_science,upsa,upsa_health_sciences,Medical Laboratory Science
upsa_health_sciences_physician_assistantship,upsa,upsa_health_sciences,Physician Assistantship
upsa_health_sciences_health_information_management,upsa,upsa_health_sciences,Health Information Management
upsa_arts_humanities_and_social_sciences_political_science,upsa,upsa_arts_humanities_and_social_sciences,Political Science
upsa_arts_humanities_and_social_sciences_economics,upsa,upsa_arts_humanities_and_social_sciences,Economics
upsa_arts_humanities_and_social_sciences_sociology,upsa,upsa_arts_humanities_and_social_sciences,Sociology
upsa_arts_humanities_and_social_sciences_psychology,upsa,upsa_arts_humanities_and_social_sciences,Psychology
upsa_arts_humanities_and_social_sciences_languages,upsa,upsa_arts_humanities_and_social_sciences,Languages
upsa_arts_humanities_and_social_sciences_history,upsa,upsa_arts_humanities_and_social_sciences,History
upsa_education_educational_studies,upsa,upsa_education,Educational Studies
upsa_education_curriculum_and_instruction,upsa,upsa_education,Curriculum and Instruction
upsa_education_educational_leadership,upsa,upsa_education,Educational Leadership
upsa_education_guidance_and_counselling,upsa,upsa_education,Guidance and Counselling
upsa_natural_and_applied_sciences_mathematics,upsa,upsa_natural_and_applied_sciences,Mathematics
upsa_natural_and_applied_sciences_statistics,upsa,upsa_natural_and_applied_sciences,Statistics
upsa_natural_and_applied_sciences_physics,upsa,upsa_natural_and_applied_sciences,Physics
upsa_natural_and_applied_sciences_chemistry,upsa,upsa_natural_and_applied_sciences,Chemistry
upsa_natural_and_applied_sciences_biological_sciences,upsa,upsa_natural_and_applied_sciences,Biological Sciences
upsa_natural_and_applied_sciences_environmental_science,upsa,upsa_natural_and_applied_sciences,Environmental Science
uhas_business_and_management_studies_accounting,uhas,uhas_business_and_management_studies,Accounting
uhas_business_and_management_studies_banking_and_finance,uhas,uhas_business_and_management_studies,Banking and Finance
uhas_business_and_management_studies_marketing,uhas,uhas_business_and_management_studies,Marketing
uhas_business_and_management_studies_human_resource_management,uhas,uhas_business_and_management_studies,Human Resource Management
uhas_business_and_management_studies_procurement_and_supply_chain,uhas,uhas_business_and_management_studies,Procurement and Supply Chain
uhas_business_and_management_studies_business_administration,uhas,uhas_business_and_management_studies,Business Administration
uhas_computing_and_information_technology_computer_science,uhas,uhas_computing_and_information_technology,Computer Science
uhas_computing_and_information_technology_information_technology,uhas,uhas_computing_and_information_technology,Information Technology
uhas_computing_and_information_technology_information_systems,uhas,uhas_computing_and_information_technology,Information Systems
uhas_computing_and_information_technology_cybersecurity,uhas,uhas_computing_and_information_technology,Cybersecurity
uhas_computing_and_information_technology_data_science,uhas,uhas_computing_and_information_technology,Data Science
uhas_computing_and_information_technology_software_engineering,uhas,uhas_computing_and_information_technology,Software Engineering
uhas_engineering_and_built_environment_civil_engineering,uhas,uhas_engineering_and_built_environment,Civil Engineering
uhas_engineering_and_built_environment_electrical_and_electronic_engineering,uhas,uhas_engineering_and_built_environment,Electrical and Electronic Engineering
uhas_engineering_and_built_environment_mechanical_engineering,uhas,uhas_engineering_and_built_environment,Mechanical Engineering
uhas_engineering_and_built_environment_computer_engineering,uhas,uhas_engineering_and_built_environment,Computer Engineering
uhas_engineering_and_built_environment_building_technology,uhas,uhas_engineering_and_built_environment,Building Technology
uhas_health_sciences_nursing,uhas,uhas_health_sciences,Nursing
uhas_health_sciences_midwifery,uhas,uhas_health_sciences,Midwifery
uhas_health_sciences_public_health,uhas,uhas_health_sciences,Public Health
uhas_health_sciences_medical_laboratory_science,uhas,uhas_health_sciences,Medical Laboratory Science
uhas_health_sciences_physician_assistantship,uhas,uhas_health_sciences,Physician Assistantship
uhas_health_sciences_health_information_management,uhas,uhas_health_sciences,Health Information Management
uhas_arts_humanities_and_social_sciences_political_science,uhas,uhas_arts_humanities_and_social_sciences,Political Science
uhas_arts_humanities_and_social_sciences_economics,uhas,uhas_arts_humanities_and_social_sciences,Economics
uhas_arts_humanities_and_social_sciences_sociology,uhas,uhas_arts_humanities_and_social_sciences,Sociology
uhas_arts_humanities_and_social_sciences_psychology,uhas,uhas_arts_humanities_and_social_sciences,Psychology
uhas_arts_humanities_and_social_sciences_languages,uhas,uhas_arts_humanities_and_social_sciences,Languages
uhas_arts_humanities_and_social_sciences_history,uhas,uhas_arts_humanities_and_social_sciences,History
uhas_education_educational_studies,uhas,uhas_education,Educational Studies
uhas_education_curriculum_and_instruction,uhas,uhas_education,Curriculum and Instruction
uhas_education_educational_leadership,uhas,uhas_education,Educational Leadership
uhas_education_guidance_and_counselling,uhas,uhas_education,Guidance and Counselling
uhas_natural_and_applied_sciences_mathematics,uhas,uhas_natural_and_applied_sciences,Mathematics
uhas_natural_and_applied_sciences_statistics,uhas,uhas_natural_and_applied_sciences,Statistics
uhas_natural_and_applied_sciences_physics,uhas,uhas_natural_and_applied_sciences,Physics
uhas_natural_and_applied_sciences_chemistry,uhas,uhas_natural_and_applied_sciences,Chemistry
uhas_natural_and_applied_sciences_biological_sciences,uhas,uhas_natural_and_applied_sciences,Biological Sciences
uhas_natural_and_applied_sciences_environmental_science,uhas,uhas_natural_and_applied_sciences,Environmental Science
uenr_business_and_management_studies_accounting,uenr,uenr_business_and_management_studies,Accounting
uenr_business_and_management_studies_banking_and_finance,uenr,uenr_business_and_management_studies,Banking and Finance
uenr_business_and_management_studies_marketing,uenr,uenr_business_and_management_studies,Marketing
uenr_business_and_management_studies_human_resource_management,uenr,uenr_business_and_management_studies,Human Resource Management
uenr_business_and_management_studies_procurement_and_supply_chain,uenr,uenr_business_and_management_studies,Procurement and Supply Chain
uenr_business_and_management_studies_business_administration,uenr,uenr_business_and_management_studies,Business Administration
uenr_computing_and_information_technology_computer_science,uenr,uenr_computing_and_information_technology,Computer Science
uenr_computing_and_information_technology_information_technology,uenr,uenr_computing_and_information_technology,Information Technology
uenr_computing_and_information_technology_information_systems,uenr,uenr_computing_and_information_technology,Information Systems
uenr_computing_and_information_technology_cybersecurity,uenr,uenr_computing_and_information_technology,Cybersecurity
uenr_computing_and_information_technology_data_science,uenr,uenr_computing_and_information_technology,Data Science
uenr_computing_and_information_technology_software_engineering,uenr,uenr_computing_and_information_technology,Software Engineering
uenr_engineering_and_built_environment_civil_engineering,uenr,uenr_engineering_and_built_environment,Civil Engineering
uenr_engineering_and_built_environment_electrical_and_electronic_engineering,uenr,uenr_engineering_and_built_environment,Electrical and Electronic Engineering
uenr_engineering_and_built_environment_mechanical_engineering,uenr,uenr_engineering_and_built_environment,Mechanical Engineering
uenr_engineering_and_built_environment_computer_engineering,uenr,uenr_engineering_and_built_environment,Computer Engineering
uenr_engineering_and_built_environment_building_technology,uenr,uenr_engineering_and_built_environment,Building Technology
uenr_health_sciences_nursing,uenr,uenr_health_sciences,Nursing
uenr_health_sciences_midwifery,uenr,uenr_health_sciences,Midwifery
uenr_health_sciences_public_health,uenr,uenr_health_sciences,Public Health
uenr_health_sciences_medical_laboratory_science,uenr,uenr_health_sciences,Medical Laboratory Science
uenr_health_sciences_physician_assistantship,uenr,uenr_health_sciences,Physician Assistantship
uenr_health_sciences_health_information_management,uenr,uenr_health_sciences,Health Information Management
uenr_arts_humanities_and_social_sciences_political_science,uenr,uenr_arts_humanities_and_social_sciences,Political Science
uenr_arts_humanities_and_social_sciences_economics,uenr,uenr_arts_humanities_and_social_sciences,Economics
uenr_arts_humanities_and_social_sciences_sociology,uenr,uenr_arts_humanities_and_social_sciences,Sociology
uenr_arts_humanities_and_social_sciences_psychology,uenr,uenr_arts_humanities_and_social_sciences,Psychology
uenr_arts_humanities_and_social_sciences_languages,uenr,uenr_arts_humanities_and_social_sciences,Languages
uenr_arts_humanities_and_social_sciences_history,uenr,uenr_arts_humanities_and_social_sciences,History
uenr_education_educational_studies,uenr,uenr_education,Educational Studies
uenr_education_curriculum_and_instruction,uenr,uenr_education,Curriculum and Instruction
uenr_education_educational_leadership,uenr,uenr_education,Educational Leadership
uenr_education_guidance_and_counselling,uenr,uenr_education,Guidance and Counselling
uenr_natural_and_applied_sciences_mathematics,uenr,uenr_natural_and_applied_sciences,Mathematics
uenr_natural_and_applied_sciences_statistics,uenr,uenr_natural_and_applied_sciences,Statistics
uenr_natural_and_applied_sciences_physics,uenr,uenr_natural_and_applied_sciences,Physics
uenr_natural_and_applied_sciences_chemistry,uenr,uenr_natural_and_applied_sciences,Chemistry
uenr_natural_and_applied_sciences_biological_sciences,uenr,uenr_natural_and_applied_sciences,Biological Sciences
uenr_natural_and_applied_sciences_environmental_science,uenr,uenr_natural_and_applied_sciences,Environmental Science
sdd_ubids_business_and_management_studies_accounting,sdd_ubids,sdd_ubids_business_and_management_studies,Accounting
sdd_ubids_business_and_management_studies_banking_and_finance,sdd_ubids,sdd_ubids_business_and_management_studies,Banking and Finance
sdd_ubids_business_and_management_studies_marketing,sdd_ubids,sdd_ubids_business_and_management_studies,Marketing
sdd_ubids_business_and_management_studies_human_resource_management,sdd_ubids,sdd_ubids_business_and_management_studies,Human Resource Management
sdd_ubids_business_and_management_studies_procurement_and_supply_chain,sdd_ubids,sdd_ubids_business_and_management_studies,Procurement and Supply Chain
sdd_ubids_business_and_management_studies_business_administration,sdd_ubids,sdd_ubids_business_and_management_studies,Business Administration
sdd_ubids_computing_and_information_technology_computer_science,sdd_ubids,sdd_ubids_computing_and_information_technology,Computer Science
sdd_ubids_computing_and_information_technology_information_technology,sdd_ubids,sdd_ubids_computing_and_information_technology,Information Technology
sdd_ubids_computing_and_information_technology_information_systems,sdd_ubids,sdd_ubids_computing_and_information_technology,Information Systems
sdd_ubids_computing_and_information_technology_cybersecurity,sdd_ubids,sdd_ubids_computing_and_information_technology,Cybersecurity
sdd_ubids_computing_and_information_technology_data_science,sdd_ubids,sdd_ubids_computing_and_information_technology,Data Science
sdd_ubids_computing_and_information_technology_software_engineering,sdd_ubids,sdd_ubids_computing_and_information_technology,Software Engineering
